name,Gestellt am,Typ,Bearbeitungsfrist,Aktuelle Fristverlängerung,Art,Status,Gestellt von,Zuständiges Referat,Erledigt am,document_link,document_content
StR-Antrag 20-26 / A 04587 Geschützte Räume biologischer Frauen,2024-01-30,Antrag,30.07.2024,,Öffentlicher Vorgang,Erledigt,"AfD, Herr StR Daniel Stanke, Herr StR Markus Walbrunn, Frau StRin Iris Wassill",Direktorium,07.05.2024,https://risi.muenchen.de/risi/./dokument/v/8240568,"Antrag
Ein Zuwarten, was das Selbstbestimmungsgesetz bringen wird, ist nicht notwendig. Im 
Gesetzesentwurf des Selbstbestimmungsgesetzes ist bereits festgelegt, dass bezüglich des Zugangs 
zu Einrichtungen und Räumen und der Teilnahme an Veranstaltungen die Vertragsfreiheit und das 
Hausrecht des jeweiligen Eigentümers oder Besitzers sowie das Recht juristischer Personen, ihre 
Angelegenheiten durch Satzung zu regeln, unberührt bleiben. 
Dies entspricht auch der jetzigen Gesetzeslage. Demnach ist es bereits jetzt möglich die jeweils 
geltenden Satzungen, Verordnungen und Hausordnungen von Bädern, Bezirkssportanlagen oder 
Schulen der LHM anzupassen, bzw. um Klarstellungen zu ergänzen. Sofern das Gesetz so in Kraft tritt, 
ändert sich nichts.
Nachdem das geplante Gesetz durchaus an die biologischen Unterschiede zwischen Mann und Frau 
anknüpft, ist auch nicht mit einer Klagewelle zu rechnen. Die Zugangserlaubnis kann demnach an den
primären Geschlechtsmerkmalen festgemacht werden. Als Ausnahme sollte geregelt werden, dass 
selbstverständlich Mütter ihre Söhne im Kleinkindalter mit in die Damenumkleiden nehmen können.
Initiative:
Iris Wassill Markus Walbrunn Daniel Stanke
ea. Stadträte                                                    ea. Stadtrat                                                              ea. Stadtrat
AfD-Stadtratsgruppe, Marienplatz 8, 80331 München Seite 2 von 2"
"StR-Antrag 20-26 / A 04585 Dringlichkeitsantrag zur Vollversammlung am 31.01.2024
Lösung der Grundwasserproblematik in den ...",2024-01-30,Dringlichkeitsantrag,30.07.2024,,Öffentlicher Vorgang,Erledigt,"AfD, Herr StR Daniel Stanke, Herr StR Markus Walbrunn, Frau StRin Iris Wassill",Referat für Klima- und Umweltschutz,14.06.2024,https://risi.muenchen.de/risi/./dokument/v/8240492,"Dringlichkeitsantrag zur 
Vollversammlung am 31.1.2024 
Herrn Oberbürgermeister Dieter Reiter
Rathaus
80331 München München, 29.01.2024
Lösung der Grundwasserproblematik in den Häusern der Osterwaldstraße und Genter Straße
Der Stadtrat möge beschließen:
Es werden unverzüglich bauliche Veränderungen an der betreffenden Stelle am Regenauslasskanal 
vorgenommen, so dass das Grundwasser, das sich derzeit auf der einen Seite des Kanals aufstaut, 
ablaufen kann. Die Ableitung des Grundwassers könnte z. B. durch eine Erweiterung der Düker, 
zusätzliche Ventile Richtung Regenkanal oder durch eine Untergrabung unter dem Regenkanal 
erfolgen.
Begründung:
Die Häuser auf der einen Seite des Kanals stehen immer wieder im Keller unter Wasser. Ein 
Gutachten des Wasserwirtschaftsamtes hat die Stauwirkung des 1987 gebauten Kanals bestätigt. Die 
vorhandenen Ablaufanlagen, die Düker, nehmen zu wenig Grundwasser auf, so dass es zur 
Aufstauung von der Fließrichtung des Grundwasserstroms her vor dem Kanal kommt. 
Ein ständiges Abpumpen ist nicht zielführend, da die Ursache damit nicht ausgeschaltet wird. Es ist 
auch teuer und auf Dauer unzumutbar. Die Argumente der Stadt mit der derzeit die Lösung des 
Problems auf Kosten der Stadt verweigert wird, sind nicht stichhaltig, wie ermittelt wurde. 
Den Anwohnern, die zum Teil seit 90 Jahren dort ansäßig sind, ist keinerlei Schuld an der Situation 
zuzuweisen. Die Kosten, die diesen durch Keller- und Heizungssanierungen bereits entstanden sind, 
sind ihnen nicht zumutbar. Die rechtliche Klärung von Entschädigungen sollte anschließend erfolgen. 
Wichtig ist, dass den Bewohnern in der Sache schnell und unbürokratisch geholfen wird, wie der OB 
Dieter Reiter bereits einmal gefordert hatte. Passiert ist bis dato nichts. 
Die Münchner Stadtentwässerung (MSE) und das Referat für Umwelt und Klimaschutz (RKU) sehen 
sich weiter nicht als zuständig an und rieten den Anwohnern zur Aufgabe der Keller. Als kurzfristige 
Lösung wurde für ein Objekt eine über 50 Meter lange Wasserleitung über eine Straße oben hinweg, 
durch ein fremdes Grundstück in einen Bach installiert als Übergangslösung für eineinhalb Jahre. 
Die Kosten für die bauliche Veränderung auf 60 m Länge ist erheblich wirtschaftlicher als die 
Abpumpkosten, mögliche Prozess- und Gutachterkosten. 
Es gibt Möglichkeiten der Abhilfe, die sofort zu veranlassen sind, bevor die Schneeschmelze einsetzt 
und die Situation wieder schlimmer wird. Außerdem dürfen sich die Schäden an den Häusern nicht 
noch weiter ausbreiten. Wohnraum ist kostbar in München.
Initiative:
Iris Wassill Markus Walbrunn Daniel Stanke
ea. Stadträte                                                    ea. Stadtrat                                                              ea. Stadtrat
AfD-Stadtratsgruppe, Marienplatz 8, 80331 München Seite 1 von 1"
StR-Antrag 20-26 / F 00852 Nachwirkungen des Bahn-Streiks bei der S-Bahn-München – wie wird künftig ein regelkonformer Betri...,2024-01-30,Anfrage,12.03.2024,30.04.2025,Öffentlicher Vorgang,Erledigt,Herr StR Hans-Peter Mehling,Mobilitätsreferat,07.08.2025,https://risi.muenchen.de/risi/./dokument/v/8240850," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
4) Wie begründet die S -Bahn München konkret weitere Streikauswirkungen nach 
Streikende (29.01.2024, 02:00 Uhr) noch wenigstens bis 29.01.2014 12:00 Uhr? 
 
5) Welche organisatorischen Maßnahmen plant die S -Bahn München, um bei künftigen 
Streiks des Fahr- und Betriebspersonals der S-Bahn eine vollständige Betriebsaufnahme 
unmittelbar nach Streikende sicherzustellen? 
 
 
Hans-Peter Mehling 
Stadtrat 
 
 "
"StR-Antrag 20-26 / F 00851 Rattengift am Justizpalast und im Alten Botanischen Garten – 
Besteht eine Gefahr für Kinder und...",2024-01-30,Anfrage,12.03.2024,,Öffentlicher Vorgang,Erledigt,Fraktion ÖDP/München-Liste,Gesundheitsreferat,27.02.2024,https://risi.muenchen.de/risi/./dokument/v/8240724,"Fraktion Ökologisch-Demokratische Partei/München-Liste des Stadtrates 
der Landeshauptstadt München (Fraktion ÖDP/München-Liste) 
Rathaus, Marienplatz 8 ● Zimmer 116 -118 ● 80331 München 
● E-Mail: oedp-ml-fraktion@muechen.de  
● Telefon: 089 / 233 - 26922  
3. Wie kann sichergestellt werden, dass Giftköderboxen nicht durch 
Privatpersonen so manipuliert werden, dass die Giftköder für alle Tiere 
zugänglich sind?  
4. An welche Regeln müssten sich Giftköder-Anbieter halten, wenn sie im 
öffentlichen Raum Gifte ausbringen. Welche Möglichkeiten hat die 
Verwaltung, gegen unsachgemäße Ausbringung vorzugehen? 
5. Wie oft musste die Landeshauptstadt München in den vergangenen fünf 
Jahren wegen nicht tierschutzkonformen Giftködern aktiv werden?  
6. Wie kann künftig sichergestellt werden, dass stadtweit keine offenen 
Giftköderboxen mehr aufgestellt werden, die eine erhebliche Gefahr für 
Wildtiere, Singvögel und die Allgemeinheit darstellen? 
 
 
Begründung: 
Initiative: 
Tobias Ruff, Fraktionsvorsitzender 
Sonja Haider, stellv. Fraktionsvorsitzende 
Dirk Höpner, Stadtrat 
Nicola Holtmann, Stadträtin 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 "
StR-Antrag 20-26 / A 04586 Einführung von Bezahlkarten für Asylbewerber,2024-01-30,Antrag,30.07.2024,,Öffentlicher Vorgang,Erledigt,"AfD, Herr StR Daniel Stanke, Herr StR Markus Walbrunn, Frau StRin Iris Wassill",Sozialreferat,25.07.2024,https://risi.muenchen.de/risi/./dokument/v/8240529,"Antrag 
Herrn Oberbürgermeister Dieter Reiter
Rathaus
80331 München München, 29.01.2024
Einführung von Bezahlkarten für Asylbewerber 
Der Stadtrat möge beschließen:
Um  Zuzugsanreize  zu  verringern,  den  Missbrauch  von  Sozialleistungen  und  die  Finanzierung  der
Schlepperkriminalität zu bekämpfen, soll die Landeshauptstadt München umgehend Bezahlkarten für
Asylbewerber einführen.
Begründung:
Bereits  am  14.  November  2023  hat  der  Ministerrat  (stmi)  beschlossen,  ein  bayernweites
Bezahlkartensystem  für Leistungsberechtigte  nach  dem  Asylbewerberleistungsgesetz  einzuführen.
Hiermit sollen Bargeldleistungen weitestgehend ersetzt werden. 
https://www.stmi.bayern.de/med/aktuell/archiv/2023/231114bezahlkarte/
https://www.spiegel.de/politik/deutschland/asylpolitik-bayern-macht-tempo-bei-einfuehrung-der-
bezahlkarte-a-7cdda312-16be-4d04-8869-82d6b95c85fe
https://www.bild.de/regional/bayern/regional/weniger-anreize-fuer-fluechtlinge-bayern-startet-im-
maerz-mit-bezahlkarten-86921982.bild.html
Asylbewerber werden in Deutschland mit Grundleistungen versorgt. Die Grundleistungen umfassen 
den notwendigen Bedarf an Nahrung, Unterkunft, Heizung, Kleidung, Gesundheitspflege sowie 
Gebrauchs- und Verbrauchsgütern des Haushalts. Die Bezahlkarten werden mit den jeweils 
zustehenden Leistungen aufgeladen und ersetzen Bargeld. Lediglich das Taschengeld wird 
ausgezahlt. Für darüber hinausgehende Bargeldleistungen gibt es daher keine sachlichen Gründe.
In Thüringen zeigt die Bezahlkarte bereits Wirkung. So reisten in Greiz Asylbewerber wieder ab, weil 
sie kein Bargeld mehr erhalten. https://www.focus.de/finanzen/news/fuer-asylbewerber-
bezahlkarte-wirkt-jetzt-breche-ich-alle-zelte-in-deutschland-ab-und-gehe-nach-
hause_id_259606310.html. 
Erste Pilotkommune in Bayern wird Fürstenfeldbruck sein. Auch die Landeshauptstadt München ist 
aufgefordert, den Beschluss des Ministerrats vom 14.11.2023 umgehend umzusetzen. 
Initiative:
Iris Wassill Markus Walbrunn Daniel Stanke
ea. Stadträte                                                    ea. Stadtrat                                                              ea. Stadtrat
AfD-Stadtratsgruppe, Marienplatz 8, 80331 München Seite 1 von 1"
"StR-Antrag 20-26 / A 04584 Dringlichkeitsantrag zur Vollversammlung am 31.01.2024
Kostenerlass für die Anwohner der Osterwa...",2024-01-30,Dringlichkeitsantrag,30.07.2024,,Öffentlicher Vorgang,Erledigt,"AfD, Herr StR Daniel Stanke, Herr StR Markus Walbrunn, Frau StRin Iris Wassill",Baureferat,10.07.2024,https://risi.muenchen.de/risi/./dokument/v/8240417,"Dringlichkeitsantrag zur 
Vollversammlung am 31.1.2024 
Herrn Oberbürgermeister Dieter Reiter
Rathaus
80331 München München, 29.01.2024
Kostenerlass für die Anwohner der Osterwaldstraße und der Genter Straße
Der Stadtrat möge beschließen:
Die Abwasserkostenbescheide, die den Anwohnern der Osterwaldstraße und der Genter Straße für
das abgepumpte Grundwasser für die Einleitung in die städtische Kanalisation auferlegt wurden,
werden ausgesetzt, bzw. aufgehoben.
Begründung:
Wie ein Gutachten des Wasserwirtschaftamtes zur Situation an der Osterwaldstraße und der Genter
Straße gezeigt hat, staut sich das Grundwasser am Regenauslasskanal auf einer Seite auf. Demnach
sind die Düker, die das Grundwasser herumleiten sollen, nicht ausreichend konzipiert. Die Kosten für
das  Ableiten  des  in  die  Keller  eindringenden  Wassers  in  die  Abwasserkanalisation  wurden  den
Anwohnern mit mehreren zehntausend Euro auferlegt. 
Es obliegt der Münchner Stadtentwässerung und dem Referat für Umwelt und Klimaschutz Abilfe zu
schaffen. Aufgrund des Verursacherprinzips haben diese die Kosten selbst zu tragen. Deshalb sollten
die Bescheide ausgesetzt bzw. aufgehoben werden. 
Initiative:
Iris Wassill Markus Walbrunn Daniel Stanke
ea. Stadträte                                                    ea. Stadtrat                                                              ea. Stadtrat
AfD-Stadtratsgruppe, Marienplatz 8, 80331 München Seite 1 von 1"
StR-Antrag 20-26 / A 04590 Ausschreibung der Stelle der Leitung des Kommunalreferats,2024-01-31,Änderungsantrag,31.01.2024,,Öffentlicher Vorgang,Erledigt,FDP BAYERNPARTEI Stadtratsfraktion,Direktorium,31.01.2024,https://risi.muenchen.de/risi/./dokument/v/8244042," 
 
 
 
 
 
Änderungsantrag für die Vollversammlung am 31.01.2024 
 
TOP ö A 1:  
Ausschreibung der Stelle der Leitung des Kommunalreferats 
 
Sitzungsvorlage 20-26 / V 12218 
 
 
Der Antrag des Referenten wird wie folgt geändert: 
 
Ziffer 1 geändert: 
 
Das Kommunalreferat wird aufgeteilt: die Bereiche Liegenschaften, Recht und Verwaltung 
sowie das Amt für Bewertung und das Amt für Grundstücksverkehr kommen zur 
Stadtkämmerei, das Vermessungsamt zum Referat für Stadtplanung und Bauordnung, die 
Stadtgüter zum Referat für Klima- und Umweltschutz und der Abfallwirtschaftsbetrieb zum 
Baureferat. 
 
 
 
Ziffer 2: wie Antrag des Referenten 
"
"StR-Antrag 20-26 / A 04592 Einsatz von ätzenden Stoffen im Rahmen des städtischen 
Winterdienstes bei Extremwetterlagen",2024-01-31,Änderungsantrag,31.01.2024,,Öffentlicher Vorgang,Erledigt,CSU mit FREIE WÄHLER,Baureferat,31.01.2024,https://risi.muenchen.de/risi/./dokument/v/8244333,"CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de
Änderungsantrag
Herrn Oberbürgermeister 
Dieter Reiter 
Marienplatz 8
80331 München
31. Januar 2024
Änderungsantrag
für die Vollversammlung
am 31.01.2024
TOP ö A4
Bekanntgabe der Dringlichen Anordnung des 
Oberbürgermeisters gemäß Art. 37 Abs. 3 Satz 1 GO und § 25 
GeschO vom 11.01.2024
Einsatz von ätzenden Stoffen im Rahmen des städtischen 
Winterdienstes bei Extremwetterlagen
Sitzungsvorlage Nr. 20-26 / V 12323
Der Antrag der Referentin wird wie folgt geändert:
Ziffern 1 und 2 unverändert
Ziffer 3
neu
Das Baureferat wird beauftragt, die Verordnung über die Reinigung und Sicherung der 
öffentlichen Wege, Straßen und Plätze der Landeshauptstadt München 
(Straßenreinigungs- und -sicherungsverordnung) vom 17.12.2010 in § 5 (Inhalt der 
Sicherungspflicht) Absatz 2 entsprechend anzupassen.
Ziffer 4 Wie Ziffer 3 im Antrag der Referentin
Manuel Pretzl Alexander Reissl Thomas Schmid  
Fraktionsvorsitzender Stadtrat Stadtrat
Veronika Mirlach Andreas Babor
Stadträtin Stadtrat
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München 
"
"StR-Antrag 20-26 / A 04593 Einsatz von ätzenden Stoffen im Rahmen des 
städtischen Winterdienstes bei Extremwetterlagen",2024-01-31,Änderungsantrag,31.01.2024,,Öffentlicher Vorgang,Erledigt,"Fraktion Die Grünen - Rosa Liste, SPD / Volt - Fraktion",Baureferat,31.01.2024,https://risi.muenchen.de/risi/./dokument/v/8244400,"Fraktion Die Grünen – Rosa Liste SPD/Volt-Fraktion
Paul Bickelbacher Klaus Peter Rupp
Florian Schönemann Andreas Schuster
Anna Hanusch Julia Schönfeld-Knor
Ursula Harper Nikolaus Gradl 
Christian Smolka
Sibylle Stöhr
Mitglieder des Stadtrates
Dr. Julia Schmitt-Thiel
Mitglieder des Stadtrates"
"StR-Antrag 20-26 / A 04591 Brenner-Nordzulauf - Kernforderungen an den Bundestag; 
Sachstand Anschlussprojekte der Deutsche...",2024-01-31,Änderungsantrag,31.01.2024,,Öffentlicher Vorgang,Erledigt,"SPD / Volt - Fraktion, Fraktion Die Grünen - Rosa Liste",Referat für Stadtplanung und Bauordnung,31.01.2024,https://risi.muenchen.de/risi/./dokument/v/8244182," 
 
 
SPD/Volt-Fraktion Fraktion Die Grünen – Rosa Liste 
Simone Burger Anna Hanusch 
Andreas Schuster Paul Bickelbacher 
Kathrin Abele Angelika Pilz-Strasser 
Christian Köning Florian Schönemann 
Micky Wenngatz David Süß 
Marian Offman Christian Smolka 
 Sebastian Weisenburger  
 
 "
StR-Antrag 20-26 / A 04596 FÖRDERUNG DER „INTERNATIONALEN MÜNCHNER FRIEDENSKONFERENZ“ EINSTELLEN,2024-02-01,Antrag,01.08.2024,,Öffentlicher Vorgang,Erledigt,"SPD / Volt - Fraktion, Fraktion Die Grünen - Rosa Liste",Kulturreferat,26.07.2024,https://risi.muenchen.de/risi/./dokument/v/8247421," 
Herrn 
Oberbürgermeister 
Dieter Reiter 
Rathaus 
 
 
FÖRDERUNG DER „INTERNATIONALEN MÜNCHNER FRIEDENSKONFERENZ“ 
EINSTELLEN 
 
ANTRAG 
Das Kulturreferat wird aufgefordert, seine Förderlandschaft im Lichte der erforderlichen 
Konsolidierungen kritisch zu hinterfragen. In diesem Sinne und zur Stärkung seiner 
Kernaufgaben soll die Förderung der „Internationalen Münchner Friedenskonferenz“ ab sofort 
und künftig nicht mehr erfolgen. 
 
BEGRÜNDUNG 
Eine kommunale Unterstützung der „Internationalen Münchner Friedenskonferenz“ als 
zivilgesellschaftliches Gegenüber zur „Sicherheitskonferenz“ hat bei einer aufgabenkritischen 
Hinterfragung im Förderportfolio des Kulturreferats keinen hinreichenden Anknüpfungspunkt 
mehr. 
Eine allgemein- bzw. weltpolitisch ausgerichtete Initiative ohne ausreichend erkennbare 
kommunale Befassung ist in einer Förderung durch die Kulturverwaltung deplatziert. 
    
 
SPD/Volt-Fraktion    Fraktion Die Grünen – Rosa Liste 
Initiative 
Felix Sproll      Mona Fuchs 
Julia Schönfeld-Knor    Clara Nitsche  
Anne Hübner     David Süß  
Kathrin Abele     Marion Lüttig  
Lars Mentrup     Nimet Gökmenoğlu  
Klaus Peter Rupp    Ursula Harper   
Lena Odell     Andreas Voßeler  
Marian Oﬀman   
 
    
      
       
Mitglieder des Stadtrates    Mitglieder des Stadtrates  
München, 01.02.2024 
 "
StR-Antrag 20-26 / F 00853 Zuverlässigkeit ist die halbe Miete,2024-02-01,Anfrage,14.03.2024,,Öffentlicher Vorgang,Erledigt,"Frau StRin Alexandra Gaßmann, Frau StRin Ulrike Grimm",Referat für Bildung und Sport,11.04.2024,https://risi.muenchen.de/risi/./dokument/v/8245856," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
 
ANFRAGE 
 
An Herrn  
Oberbürgermeister  
Dieter Reiter  
 
Rathaus, Marienplatz 8, 80331 München 
 
 
         
 
 
              01.02.2024 
 
 
Zuverlässigkeit ist die halbe Miete 
  
Viele Vereine haben außerhalb  der Ferienzeiten die Möglichkeit ihr Training in den 
Schulschwimmbädern anzubieten. Auch hier ist es nötig, eine große Zuverlässigkeit von Seiten der 
Schulschwimmbäder zu haben, denn nur so können die Trainingszeiten auch stattfinden.  In letzter Zeit 
mehren sich Beschwerden über kurzfristige Schließungen und teils unzureichende Rahmenbedingungen.  
  
Deshalb fragen wir: 
  
1. Sind die Schulschwimmbäder immer zu den gebuchten Zeiten zugänglich? 
 
2. Wenn nicht, warum nicht und wann wird dies den Vereinen mitgeteilt? 
 
3. Gibt es hierzu einen einfachen Zugang zu den Informationen? 
 
4. Ist es sicher, dass die Rahmenbedingungen auch stimmen wie z. B. Raum- und 
Wassertemperatur? 
 
5. Wie oft kommen Absagen im Jahr vor? 
 
6. Falls dies alles nicht zufriedenstellend beantwortet werden kann, welche Möglichkeiten gibt 
es, diesen Missstand abzustellen oder die Ausgangssituation zu verbessern.   
 
 
 
Alexandra Gaßmann (Initiative)   Ulrike Grimm  
Stadträtin      Stadträtin 
"
StR-Antrag 20-26 / A 04595 Lindwurmstraße wenigstens während der Wiesn verkehrssicher gestalten!,2024-02-01,Antrag,01.08.2024,,Öffentlicher Vorgang,Erledigt,Fraktion ÖDP/München-Liste,Mobilitätsreferat,02.10.2024,https://risi.muenchen.de/risi/./dokument/v/8245867,"Fraktion Ökologisch-Demokratische Partei/München-Liste des Stadtrates 
der Landeshauptstadt München (Fraktion ÖDP/München-Liste) 
Rathaus, Marienplatz 8 ● Zimmer 116 -118 ● 80331 München 
● E-Mail: oedp-ml-fraktion@muechen.de  
● Telefon: 089 / 233 - 26922  
 
 
 
 
 
 
 
An den Oberbürgermeister 
der Landeshauptstadt München 
Herrn Dieter Reiter 
Rathaus, Marienplatz 8 
80331 München 
 
 München, 01.02.2024 
 
Antrag: 
Lindwurmstraße wenigstens während der Wiesn verkehrssicher gestalten! 
 
 
Auf der Lindwurmstraße wird zwischen Goetheplatz und Poccistraße vom 
15.09.2024 bis 15.10.2024 jeweils eine Richtungsfahrbahn für den Radverkehr 
abmarkiert. 
 
 
Begründung: 
 
Seit langem ist erkannt, dass sich in der Lindwurmstraße Rad- und Fußverkehr einen 
viel zu engen Raum teilen. Das Mobilitätsreferat erarbeitet daher einen Vorschlag, 
wie künftig der Raum neu aufgeteilt werden kann. 
 
Während des Oktoberfestes sind die Besucherströme noch einmal so viel höher, 
dass für den Radverkehr, insbesondere um die U-Bahnaufgänge kein Platz mehr 
bleibt. Fast minütlich kommt es zu Konflikten zwischen Radfahrern und Fußgängern. 
 
Da eine dauerhafte Umgestaltung der Lindwurmstraße noch nicht einmal terminiert 
ist, sollte während des Oktoberfestes eine temporäre Lösung erprobt werden. 
Beginnt die Umleitung der Radfahrer ein paar Tage vor der Wiesn und endet ein paar 
Tage nach dieser, so lassen sich zusätzlich Erkenntnisse für die Verkehrslenkung 
unter „Normalbedingungen“ gewinnen. 
 
 
Initiative: 
Tobias Ruff, Fraktionsvorsitzender 
Sonja Haider, stellv. Fraktionsvorsitzende 
Nicola Holtmann, Stadträtin 
Dirk Höpner, Planungspolitischer Sprecher   
"
StR-Antrag 20-26 / A 04597 Ausstellung der Magnus Hirschfeld Stiftung „Gefährdet leben - queere Menschen im Nationalsozialis...,2024-02-01,Antrag,02.08.2024,,Öffentlicher Vorgang,Erledigt,"Herr StR Prof. Dr. Hans Theiss, Herr StR Thomas Schmid",Direktorium,04.03.2024,https://risi.muenchen.de/risi/./dokument/v/8248586," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
 
ANTRAG 
 
An Herrn  
Oberbürgermeister  
Dieter Reiter  
 
Rathaus, Marienplatz 8, 80331 München 
 
 
         
                01.02.2024  
Ausstellung der Bundesstiftung Magnus Hirschfeld (BMH) „Gefährdet leben - queere Menschen 
im Nationalsozialismus“ nach München holen! 
Die Landeshauptstadt München stellt für die Ausstellung der Bundesstiftung Magnus Hirschfeld (BMH) 
„Gefährdet leben - queere Menschen im Nationalsozialismus“ vom 14.10. 2024 - 03.11.2024 entweder 
geeignete städtische Räume zur Verfügung oder unterstützt die Stiftung bei der Organisation von 
Räumlichkeiten (z.B. bei der Jüdischen Kultusgemeinde , i m NS -Dokumentationszentrum oder im 
pädagogischen Institut). 
 
Begründung 
 
Die beste Begründung für die Bedeutung der Ausstellung liefert die Magnus Hirschfeld Stiftung auf ihrer 
Homepage
1: 
 
„Beim Gedenken an die Opfer des Nationalsozialismus am 27. Januar 2023 im Deutschen Bundestag 
standen erstmals die queeren Opfer im Fokus. Die histor isch-dokumentarische Ausstellung „gefährdet 
leben. Queere Menschen 1933 -1945“ knüpft an dieses wichtige erinnerungspolitische Signal an und 
macht das Thema der Ausgrenzung und Verfolgung queerer Menschen in den Jahren 1933 –  1945 nun 
einem breiten Publikum  zugänglich. Die vielfältigen und ambivalenten Lebensgeschichten queerer 
Menschen in der Zeit von 1933 – 1945 werden in der Ausstellung anhand von Dokumenten, Grafiken, 
Fotografien und Zitaten nachgezeichnet. Darunter auch bislang unveröffentlichtes Material. Die 
Ausstellung bietet sowohl einen breiten Überblick als auch tiefergehende Einblicke in die Biografien der 
Menschen sowie aktuelle Forschungsergebnisse. Die Ausstellung macht deutlich, wie das Leben vieler 
queerer Menschen gebrochen und zerstört wurd e. Sie beleuchtet gleichzeitig, wie verbliebene 
Handlungsspielräume im Alltag genutzt wurden. Erzählt werden keineswegs nur 
Verfolgungsgeschichten, sondern auch Wege der Selbstbehauptung in einer widrigen Lebensrealität.“ 
 
Die Landeshauptstadt München muss  diese wichtige Ausstellung nach München holen und adäquate 
Räumlichkeiten zur Verfügung stellen. 
 
 
Prof. Dr. Hans Theiss (Initiative)    Thomas Schmid 
Stv. Fraktionsvorsitzender     Stadtrat 
 
1 www.gefährdetleben.de  
 
"
StR-Antrag 20-26 / A 04602 Für die Stadt von morgen: SDGs – Nachhaltigkeitsziele im Haushalt der Stadt München verankern,2024-02-02,Antrag,02.08.2024,31.12.2024,Öffentlicher Vorgang,Erledigt,SPD / Volt - Fraktion,Stadtkämmerei,05.02.2025,https://risi.muenchen.de/risi/./dokument/v/8249222,"Eine Ausrichtung des städtischen Haushalts, der an den UN-Zielen für nachhaltige 
Entwicklung sowie den spezifisch für München entlang der Logik der SDGs entwickelten 
Zielen der PM orientiert ist, beinhaltet neben ökologischen und räumlich-planerischen 
Faktoren vor allem auch Aspekte der sozialen Gerechtigkeit. Daher ist es von besonderer 
Wichtigkeit, im Zuge der nachhaltigeren Gestaltung des städtischen Haushaltes auch 
diejenigen Menschen in München stets mitzudenken, die die Folgen einer sich stark 
wandelnden Gesellschaft und Umwelt am stärksten spüren. Dies kann beispielsweise in 
der Verteilung von gesellschaftlichen Belastungen berücksichtigt werden.
Die Integration der Sustainable Development Goals, der UN-Ziele für nachhaltige 
Entwicklung, in die Produktsteuerung des Münchner Stadthaushaltes stärkt damit den 
Fokus auf die langfristige Wirkung von vor allem Sozial-, Bildungs-, Kultur-, Wohnungs- 
und Umweltpolitik.
SPD/Volt-Fraktion
Christian Köning
Anne Hübner 
Lars Mentrup
Klaus Peter Rupp
Julia Schönfeld-Knor
Dr. Julia Schmitt-Thiel
Marian Offman
Andreas Schuster
Felix Sproll
Kathrin Abele
Barbara Likus
Lena Odell
Mitglieder des Stadtrates"
StR-Antrag 20-26 / A 04601 Zusätzliches Informationsangebot für mögliche „Umsetzer im öffentlichen Interesse“,2024-02-02,Antrag,02.08.2024,31.07.2025,Öffentlicher Vorgang,Aufgegriffen,"Herr StR Manuel Pretzl, Frau StRin Alexandra Gaßmann, Herr StR Hans-Peter Mehling, Herr StR Hans Hammer, Frau StRin Heike Kainz",Sozialreferat,,https://risi.muenchen.de/risi/./dokument/v/8249038," CSU-FW-Fraktion im Stadtrat |  Tel.: 089 233 92650  |  Fax: 089 233 92747 | csu-fw-fraktion@muenchen.de 
Rathaus |  Marienplatz 8  |  Zimmer 249/II  |  80331 München  
 
 
Bei Bedarf ist im gesamten Verfahren und Umzugsverlauf zu unterstützen.  
 
 
Manuel Pretzl (Initiative) Alexandra Gaßmann  Hans Hammer   
Fraktionsvorsitzender  Stadträtin   Stadtrat   
 
Heike Kainz   Hans-Peter Mehling 
Stadträtin   Stadtrat 
 "
